name,score,event,year,last_name,first_name,full_name
Susanna PÖYKIÖ,131.3,RU,2006,POYKIO,Susanna,"Susanna, POYKIO"
Emily HUGHES,125.76,RU,2006,HUGHES,Emily,"Emily, HUGHES"
Julia SEBESTYEN,124.38,RU,2006,SEBESTYEN,Julia,"Julia, SEBESTYEN"
Anastasia GIMAZETDINOVA,121.96,RU,2006,GIMAZETDINOVA,Anastasia,"Anastasia, GIMAZETDINOVA"
Amber CORWIN,115.0,RU,2006,CORWIN,Amber,"Amber, CORWIN"
Na HOU,107.62,RU,2006,HOU,Na,"Na, HOU"
Tatiana BASOVA,102.76,RU,2006,BASOVA,Tatiana,"Tatiana, BASOVA"
Irina SLUTSKAYA,196.12,CN,2006,SLUTSKAYA,Irina,"Irina, SLUTSKAYA"
Mao ASADA,176.6,CN,2006,ASADA,Mao,"Mao, ASADA"
Shizuka ARAKAWA,173.6,CN,2006,ARAKAWA,Shizuka,"Shizuka, ARAKAWA"
Elena LIASHENKO,160.7,CN,2006,LIASHENKO,Elena,"Elena, LIASHENKO"
Yan LIU,145.92,CN,2006,LIU,Yan,"Yan, LIU"
Viktoria PAVUK,129.84,CN,2006,PAVUK,Viktoria,"Viktoria, PAVUK"
Dan FANG,122.54,CN,2006,FANG,Dan,"Dan, FANG"
Na HOU,106.34,CN,2006,HOU,Na,"Na, HOU"
Idora HEGEL,104.78,CN,2006,HEGEL,Idora,"Idora, HEGEL"
Amber CORWIN,91.06,CN,2006,CORWIN,Amber,"Amber, CORWIN"
Yukari NAKANO,158.66,JP,2006,NAKANO,Yukari,"Yukari, NAKANO"
Fumie SUGURI,158.48,JP,2006,SUGURI,Fumie,"Fumie, SUGURI"
Elena LIASHENKO,156.52,JP,2006,LIASHENKO,Elena,"Elena, LIASHENKO"
Miki ANDO,154.34,JP,2006,ANDO,Miki,"Miki, ANDO"
Kimmie MEISSNER,152.18,JP,2006,MEISSNER,Kimmie,"Kimmie, MEISSNER"
Carolina KOSTNER,145.42,JP,2006,KOSTNER,Carolina,"Carolina, KOSTNER"
Sarah MEIER,142.56,JP,2006,MEIER,Sarah,"Sarah, MEIER"
Annette DYTRT,125.38,JP,2006,DYTRT,Annette,"Annette, DYTRT"
Viktoria PAVUK,125.04,JP,2006,PAVUK,Viktoria,"Viktoria, PAVUK"
Karen VENHUIZEN,105.56,JP,2006,VENHUIZEN,Karen,"Karen, VENHUIZEN"
Miriam MANZANO,103.3,JP,2006,MANZANO,Miriam,"Miriam, MANZANO"
Mao ASADA,189.62,FN,2006,ASADA,Mao,"Mao, ASADA"
Irina SLUTSKAYA,181.48,FN,2006,SLUTSKAYA,Irina,"Irina, SLUTSKAYA"
Yukari NAKANO,161.82,FN,2006,NAKANO,Yukari,"Yukari, NAKANO"
Miki ANDO,157.3,FN,2006,ANDO,Miki,"Miki, ANDO"
Elena SOKOLOVA,150.08,FN,2006,SOKOLOVA,Elena,"Elena, SOKOLOVA"
Alissa CZISNY,140.9,FN,2006,CZISNY,Alissa,"Alissa, CZISNY"
Irina SLUTSKAYA,193.24,EU,2006,SLUTSKAYA,Irina,"Irina, SLUTSKAYA"
Elena SOKOLOVA,177.81,EU,2006,SOKOLOVA,Elena,"Elena, SOKOLOVA"
Carolina KOSTNER,172.45,EU,2006,KOSTNER,Carolina,"Carolina, KOSTNER"
Sarah MEIER,167.16,EU,2006,MEIER,Sarah,"Sarah, MEIER"
Elene GEDEVANISHVILI,153.27,EU,2006,GEDEVANISHVILI,Elene,"Elene, GEDEVANISHVILI"
Kiira KORPI,146.37,EU,2006,KORPI,Kiira,"Kiira, KORPI"
Susanna PÖYKIÖ,144.75,EU,2006,POYKIO,Susanna,"Susanna, POYKIO"
Alisa DREI,141.55,EU,2006,DREI,Alisa,"Alisa, DREI"
Viktoria VOLCHKOVA,131.88,EU,2006,VOLCHKOVA,Viktoria,"Viktoria, VOLCHKOVA"
Annette DYTRT,131.11,EU,2006,DYTRT,Annette,"Annette, DYTRT"
Idora HEGEL,127.15,EU,2006,HEGEL,Idora,"Idora, HEGEL"
Viktoria PAVUK,126.88,EU,2006,PAVUK,Viktoria,"Viktoria, PAVUK"
Tugba KARADEMIR,124.72,EU,2006,KARADEMIR,Tugba,"Tugba, KARADEMIR"
Julia SEBESTYEN,121.9,EU,2006,SEBESTYEN,Julia,"Julia, SEBESTYEN"
Elena GLEBOVA,116.59,EU,2006,GLEBOVA,Elena,"Elena, GLEBOVA"
Sonia RADEVA,114.24,EU,2006,RADEVA,Sonia,"Sonia, RADEVA"
Nadege BOBILLIER,112.88,EU,2006,BOBILLIER,Nadege,"Nadege, BOBILLIER"
Andrea KREUZER,111.95,EU,2006,KREUZER,Andrea,"Andrea, KREUZER"
Valentina MARCHEI,111.66,EU,2006,MARCHEI,Valentina,"Valentina, MARCHEI"
Teodora POSTIC,111.15,EU,2006,POSTIC,Teodora,"Teodora, POSTIC"
Martine ZUIDERWIJK,104.77,EU,2006,ZUIDERWIJK,Martine,"Martine, ZUIDERWIJK"
Ekaterina PROYDA,96.47,EU,2006,PROYDA,Ekaterina,"Ekaterina, PROYDA"
Jacqueline BELENYESIOVA,94.93,EU,2006,BELENYESIOVA,Jacqueline,"Jacqueline, BELENYESIOVA"
Lina JOHANSSON,90.61,EU,2006,JOHANSSON,Lina,"Lina, JOHANSSON"
Katy TAYLOR,164.05,4C,2006,TAYLOR,Katy,"Katy, TAYLOR"
Yukari NAKANO,161.49,4C,2006,NAKANO,Yukari,"Yukari, NAKANO"
Beatrisa LIANG,159.91,4C,2006,LIANG,Beatrisa,"Beatrisa, LIANG"
Lesley HAWKER,145.94,4C,2006,HAWKER,Lesley,"Lesley, HAWKER"
Meagan DUHAMEL,145.28,4C,2006,DUHAMEL,Meagan,"Meagan, DUHAMEL"
Mai ASADA,141.65,4C,2006,ASADA,Mai,"Mai, ASADA"
Yan LIU,138.55,4C,2006,LIU,Yan,"Yan, LIU"
Joanne CARTER,133.97,4C,2006,CARTER,Joanne,"Joanne, CARTER"
Akiko KITAMURA,132.04,4C,2006,KITAMURA,Akiko,"Akiko, KITAMURA"
Christine ZUKOWSKI,131.42,4C,2006,ZUKOWSKI,Christine,"Christine, ZUKOWSKI"
Amelie LACOSTE,127.29,4C,2006,LACOSTE,Amelie,"Amelie, LACOSTE"
Miriam MANZANO,114.37,4C,2006,MANZANO,Miriam,"Miriam, MANZANO"
Ji Eun CHOI,112.42,4C,2006,CHOI,Ji Eun,"Ji Eun, CHOI"
Chae-Hwa KIM,112.0,4C,2006,KIM,Chae-Hwa,"Chae-Hwa, KIM"
Dan FANG,105.67,4C,2006,FANG,Dan,"Dan, FANG"
Michelle CANTU,99.07,4C,2006,CANTU,Michele,"Michele, CANTU"
Yea-Ji SHIN,92.36,4C,2006,SHIN,Yea-Ji,"Yea-Ji, SHIN"
Ana Cecilia CANTU,92.22,4C,2006,CANTU,Ana Cecilia,"Ana Cecilia, CANTU"
Tammy SUTAN,90.8,4C,2006,SUTAN,Tammy,"Tammy, SUTAN"
Emily NAPHTAL,82.55,4C,2006,NAPHTAL,Emily,"Emily, NAPHTAL"
Diane CHEN,80.61,4C,2006,CHEN,Diane,"Diane, CHEN"
Laura DOWNING,73.42,4C,2006,DOWNING,Laura,"Laura, DOWNING"
Megan ALLELY,64.23,4C,2006,ALLELY,Megan,"Megan, ALLELY"
ARAKAWA Shizuka,191.34,OL,2006,ARAKAWA,Shizuka,"Shizuka, ARAKAWA"
COHEN Sasha,183.36,OL,2006,COHEN,Sasha,"Sasha, COHEN"
SLUTSKAYA Irina,181.44,OL,2006,SLUTSKAYA,Irina,"Irina, SLUTSKAYA"
SUGURI Fumie,175.23,OL,2006,SUGURI,Fumie,"Fumie, SUGURI"
ROCHETTE Joannie,167.27,OL,2006,ROCHETTE,Joannie,"Joannie, ROCHETTE"
MEISSNER Kimmie,165.71,OL,2006,MEISSNER,Kimmie,"Kimmie, MEISSNER"
HUGHES Emily,160.87,OL,2006,HUGHES,Emily,"Emily, HUGHES"
MEIER Sarah,156.13,OL,2006,MEIER,Sarah,"Sarah, MEIER"
KOSTNER Carolina,153.5,OL,2006,KOSTNER,Carolina,"Carolina, KOSTNER"
GEDEVANISHVILI Elene,151.46,OL,2006,GEDEVANISHVILI,Elene,"Elene, GEDEVANISHVILI"
LIU Yan,145.3,OL,2006,LIU,Yan,"Yan, LIU"
LEUNG Mira,145.16,OL,2006,LEUNG,Mira,"Mira, LEUNG"
POYKIO Susanna,143.22,OL,2006,POYKIO,Susanna,"Susanna, POYKIO"
SOKOLOVA Elena,142.35,OL,2006,SOKOLOVA,Elena,"Elena, SOKOLOVA"
ANDO Miki,140.2,OL,2006,ANDO,Miki,"Miki, ANDO"
KORPI Kiira,137.2,OL,2006,KORPI,Kiira,"Kiira, KORPI"
LIASHENKO Elena,134.08,OL,2006,LIASHENKO,Elena,"Elena, LIASHENKO"
SEBESTYEN Julia,129.26,OL,2006,SEBESTYEN,Julia,"Julia, SEBESTYEN"
HEGEL Idora,127.07,OL,2006,HEGEL,Idora,"Idora, HEGEL"
EFREMENKO Galina,125.37,OL,2006,EFREMENKO,Galina,"Galina, EFREMENKO"
KARADEMIR Tugba,123.64,OL,2006,KARADEMIR,Tugba,"Tugba, KARADEMIR"
FONTANA Silvia,120.37,OL,2006,FONTANA,Silvia,"Silvia, FONTANA"
PAVUK Viktoria,119.85,OL,2006,PAVUK,Viktoria,"Viktoria, PAVUK"
MAXWELL Fleur,109.57,OL,2006,MAXWELL,Fleur,"Fleur, MAXWELL"
Kimmie MEISSNER,218.33,WR,2006,MEISSNER,Kimmie,"Kimmie, MEISSNER"
Fumie SUGURI,209.74,WR,2006,SUGURI,Fumie,"Fumie, SUGURI"
Sasha COHEN,208.88,WR,2006,COHEN,Sasha,"Sasha, COHEN"
Elena SOKOLOVA,202.27,WR,2006,SOKOLOVA,Elena,"Elena, SOKOLOVA"
Yukari NAKANO,195.65,WR,2006,NAKANO,Yukari,"Yukari, NAKANO"
Sarah MEIER,195.11,WR,2006,MEIER,Sarah,"Sarah, MEIER"
Joannie ROCHETTE,189.41,WR,2006,ROCHETTE,Joannie,"Joannie, ROCHETTE"
Emily HUGHES,184.75,WR,2006,HUGHES,Emily,"Emily, HUGHES"
Susanna POYKIO,180.06,WR,2006,POYKIO,Susanna,"Susanna, POYKIO"
