name,year,event,score
GAO Song,2007,CN,154.28
SHIBATA Ryo,2007,CN,153.63
TAKAHASHI Daisuke,2007,JP,247.93
ODA Nobunari,2007,JP,244.56
KOZUKA Takahiko,2007,JP,208.34
LI Chengjiang,2007,JP,191.32
USPENSKI Alexander,2007,JP,183.36
VAN DER PERREN Kevin,2007,JP,178.9
CHAN Patrick,2007,JP,174.34
WU Jialiang,2007,JP,169.22
BERNTSSON Kristoffer,2007,JP,169.0
VARNER Geoffry,2007,JP,150.79
CRAIG Marc Andre,2007,JP,144.67
JOUBERT Brian,2007,FN,233.46
TAKAHASHI Daisuke,2007,FN,224.83
ODA Nobunari,2007,FN,216.86
PREAUBERT Alban,2007,FN,201.32
JOUBERT Brian,2007,EU,227.12
VERNER Tomas,2007,EU,212.69
VAN DER PERREN Kevin,2007,EU,204.85
DAVYDOV Sergei,2007,EU,204.78
LUTAI Andrei,2007,EU,200.54
PREAUBERT Alban,2007,EU,199.95
ZELENKA Karel,2007,EU,191.73
OTHMAN Jamal,2007,EU,182.14
URBAS Gregor,2007,EU,181.07
BERNTSSON Kristoffer,2007,EU,177.54
LINDEMANN Stefan,2007,EU,176.17
PONSERO Yannick,2007,EU,172.27
KOVALEVSKI Anton,2007,EU,172.01
PFEIFHOFER Moris,2007,EU,163.08
TISCHENDORF Philipp,2007,EU,162.94
GRIAZEV Andrei,2007,EU,162.23
MACYPURA Igor,2007,EU,159.61
DOBRIN Sergei,2007,EU,153.7
KASKA Pavel,2007,EU,145.89
DOMANSKI Przemyslaw,2007,EU,138.67
HAMER John,2007,EU,136.47
MARTINEC Boris,2007,EU,134.0
NURMENKARI Ari-Pekka,2007,EU,128.08
KOTOV Sergei,2007,EU,124.9
LYSACEK Evan,2007,4C,226.27
BUTTLE Jeffrey,2007,4C,223.96
ABBOTT Jeremy,2007,4C,203.22
BRADLEY Ryan,2007,4C,196.29
MABEE Christopher,2007,4C,188.41
WU Jialiang,2007,4C,184.69
KANZAKI Noriyuki,2007,4C,181.58
NAKANIWA Kensuke,2007,4C,177.03
SANDHU Emanuel,2007,4C,173.67
XU Ming,2007,4C,167.71
YANG Zhixue,2007,4C,154.57
NANRI Yasuharu,2007,4C,153.11
CARLOW Sean,2007,4C,127.08
WATSON Joel,2007,4C,112.04
THODE Tristan,2007,4C,106.61
FERNANDEZ Nicholas,2007,4C,103.43
HERNANDEZ Luis,2007,4C,101.35
WILSON Mathieu,2007,4C,94.59
PIETERSEN Justin,2007,4C,94.12
TIMMINS Dean,2007,4C,93.74
ALVARADO Adrian,2007,4C,91.26
JOUBERT Brian,2007,WR,240.85
TAKAHASHI Daisuke,2007,WR,237.95
LAMBIEL Stephane,2007,WR,233.35
VERNER Tomas,2007,WR,226.25
LYSACEK Evan,2007,WR,222.18
BUTTLE Jeffrey,2007,WR,214.96
ODA Nobunari,2007,WR,209.94
WEIR Johnny,2007,WR,206.97
BERNTSSON Kristoffer,2007,WR,206.29
DAVYDOV Sergei,2007,WR,203.05
PREAUBERT Alban,2007,WR,202.6
LINDEMANN Stefan,2007,WR,198.78
MABEE Christopher,2007,WR,195.38
PONSERO Yannick,2007,WR,192.63
BRADLEY Ryan,2007,WR,188.9
SANDHU Emanuel,2007,WR,188.59
ZELENKA Karel,2007,WR,180.1
OTHMAN Jamal,2007,WR,178.39
VORONOV Sergei,2007,WR,176.57
LUTAI Andrei,2007,WR,175.46
MACYPURA Igor,2007,WR,174.94
URBAS Gregor,2007,WR,174.39
WU Jialiang,2007,WR,170.1
KOVALEVSKI Anton,2007,WR,169.27
TAKAHASHI Daisuke,2008,US,228.97
LYSACEK Evan,2008,US,220.08
CHAN Patrick,2008,US,213.33
CARRIERE Stephen,2008,US,196.33
PREAUBERT Alban,2008,US,194.4
BRADLEY Ryan,2008,US,181.66
LUTAI Andrei,2008,US,180.88
KOZUKA Takahiko,2008,US,177.47
REYNOLDS Kevin,2008,US,169.12
NANRI Yasuharu,2008,US,153.99
BERNTSSON Kristoffer,2008,US,152.52
ZELENKA Karel,2008,US,144.51
JOUBERT Brian,2008,CA,213.62
VAN DER PERREN Kevin,2008,CA,202.55
BUTTLE Jeffrey,2008,CA,198.77
MABEE Christopher,2008,CA,192.2
CHIPEUR Vaughn,2008,CA,187.41
PONSERO Yannick,2008,CA,178.18
KASKA Pavel,2008,CA,172.9
ABBOTT Jeremy,2008,CA,171.06
SMITH Scott,2008,CA,169.97
OTHMAN Jamal,2008,CA,166.96
WU Jialiang,2008,CA,153.45
VARNER Geoffry,2008,CA,134.54
CHAN Patrick,2008,FR,214.94
VORONOV Sergei,2008,FR,208.91
PREAUBERT Alban,2008,FR,207.1
VAN DER PERREN Kevin,2008,FR,204.75
BRADLEY Ryan,2008,FR,191.32
VERNER Tomas,2008,FR,189.37
NAKANIWA Kensuke,2008,FR,177.61
