name,score,event,year
Nana TAKEDA,148.05,CA,2008
Laura LEPISTO,147.69,CA,2008
Elena GLEBOVA,145.69,CA,2008
Lesley HAWKER,136.55,CA,2008
Cynthia PHANEUF,129.17,CA,2008
Alisa DREI,123.9,CA,2008
Idora HEGEL,120.32,CA,2008
Mao ASADA,179.8,FR,2008
Kimmie MEISSNER,158.74,FR,2008
Ashley WAGNER,158.63,FR,2008
Sarah MEIER,147.15,FR,2008
Mira LEUNG,144.57,FR,2008
Elena GLEBOVA,141.71,FR,2008
Viktoria PAVUK,137.73,FR,2008
Gwendoline DIDIER,120.14,FR,2008
Valentina MARCHEI,118.99,FR,2008
Dan FANG,111.65,FR,2008
Aki SAWADA,99.18,FR,2008
Anastasia GIMAZETDINOVA,98.9,FR,2008
Yu-Na KIM,197.2,RU,2008
Yukari NAKANO,172.77,RU,2008
Joannie ROCHETTE,169.91,RU,2008
Kiira KORPI,154.26,RU,2008
Fumie SUGURI,148.15,RU,2008
Nina PETUSHKOVA,138.79,RU,2008
Julia SEBESTYEN,134.98,RU,2008
Beatrisa LIANG,134.6,RU,2008
Yan LIU,126.14,RU,2008
Katarina GERBOLDT,121.1,RU,2008
Kristin WIECZOREK,109.61,RU,2008
Arina MARTINOVA,101.43,RU,2008
Yu-Na KIM,180.68,CN,2008
Caroline ZHANG,156.34,CN,2008
Carolina KOSTNER,143.86,CN,2008
Fumie SUGURI,137.13,CN,2008
Julia SEBESTYEN,136.6,CN,2008
Beatrisa LIANG,127.42,CN,2008
Dan FANG,124.58,CN,2008
Susanna POYKIO,124.0,CN,2008
Alissa CZISNY,120.43,CN,2008
Binshu XU,119.63,CN,2008
Arina MARTINOVA,117.38,CN,2008
Yueren WANG,109.71,CN,2008
Carolina KOSTNER,164.69,JP,2008
Sarah MEIER,163.17,JP,2008
Nana TAKEDA,154.83,JP,2008
Miki ANDO,145.81,JP,2008
Laura LEPISTO,145.58,JP,2008
Alissa CZISNY,144.32,JP,2008
Lesley HAWKER,139.96,JP,2008
Elene GEDEVANISHVILI,136.54,JP,2008
Chae-Hwa KIM,122.76,JP,2008
Yan LIU,119.66,JP,2008
Yu-Na KIM,196.83,FN,2008
Mao ASADA,191.59,FN,2008
Carolina KOSTNER,178.93,FN,2008
Caroline ZHANG,176.48,FN,2008
Yukari NAKANO,172.96,FN,2008
Kimmie MEISSNER,154.22,FN,2008
Carolina KOSTNER,171.28,EU,2008
Sarah MEIER,169.44,EU,2008
Laura LEPISTO,165.65,EU,2008
Julia SEBESTYEN,162.89,EU,2008
Kiira KORPI,162.22,EU,2008
Valentina MARCHEI,153.34,EU,2008
Elene GEDEVANISHVILI,147.09,EU,2008
Jenna McCORKELL,145.57,EU,2008
Ksenia DORONINA,144.2,EU,2008
Jenni VAHAMAA,142.4,EU,2008
Tugba KARADEMIR,138.73,EU,2008
Annette DYTRT,132.95,EU,2008
Stefania BERTON,130.59,EU,2008
Karen VENHUIZEN,126.3,EU,2008
Nella SIMAOVA,124.39,EU,2008
Tamar KATZ,123.41,EU,2008
Nina PETUSHKOVA,122.97,EU,2008
Viktoria HELGESSON,121.42,EU,2008
Anna JURKIEWICZ,120.76,EU,2008
Sonia LAFUENTE,119.66,EU,2008
Katherine HADFORD,115.99,EU,2008
Roxana LUCA,104.72,EU,2008
Viviane KAESER,103.83,EU,2008
Olga IKONNIKOVA,101.2,EU,2008
Maria DIKANOVIC,76.24,EU,2008
Mao ASADA,193.25,4C,2008
Joannie ROCHETTE,179.54,4C,2008
Miki ANDO,177.66,4C,2008
Na-Young KIM,158.49,4C,2008
Mira LEUNG,157.36,4C,2008
Katrina HACKER,153.86,4C,2008
Cynthia PHANEUF,152.67,4C,2008
Ashley WAGNER,152.46,4C,2008
Anastasia GIMAZETDINOVA,150.07,4C,2008
Fumie SUGURI,145.06,4C,2008
Beatrisa LIANG,144.25,4C,2008
Yueren WANG,129.88,4C,2008
Binshu XU,128.39,4C,2008
Yan LIU,124.09,4C,2008
Melinda Sherilyn WANG,119.58,4C,2008
Chae-Hwa KIM,115.85,4C,2008
Loretta HAMUI,99.89,4C,2008
Ana Cecilia CANTU,94.76,4C,2008
Tina WANG,94.28,4C,2008
Lejeanne MARAIS,90.52,4C,2008
Tamami ONO,88.96,4C,2008
Gracielle Jeanne TAN,80.88,4C,2008
Charissa TANSOMBOON,79.28,4C,2008
Corenne BRUHNS,76.89,4C,2008
Mao ASADA,185.56,WR,2008
Carolina KOSTNER,184.68,WR,2008
Yu-Na KIM,183.23,WR,2008
Yukari NAKANO,177.4,WR,2008
Joannie ROCHETTE,174.12,WR,2008
Sarah MEIER,171.88,WR,2008
Kimmie MEISSNER,149.74,WR,2008
Laura LEPISTO,147.26,WR,2008
Kiira KORPI,145.73,WR,2008
Beatrisa LIANG,145.29,WR,2008
Julia SEBESTYEN,145.17,WR,2008
Annette DYTRT,144.31,WR,2008
Valentina MARCHEI,142.93,WR,2008
Mira LEUNG,140.59,WR,2008
Elena GLEBOVA,140.1,WR,2008
Ashley WAGNER,137.4,WR,2008
Ksenia DORONINA,135.25,WR,2008
Viktoria HELGESSON,127.96,WR,2008
Na-Young KIM,127.32,WR,2008
Elene GEDEVANISHVILI,125.99,WR,2008
Anastasia GIMAZETDINOVA,124.92,WR,2008
Tamar KATZ,116.86,WR,2008
Melinda Sherilyn WANG,116.12,WR,2008
Yu-Na KIM,193.45,US,2009
Yukari NAKANO,172.53,US,2009
Miki ANDO,168.42,US,2009
Rachael FLATT,155.73,US,2009
Mirai NAGASU,142.9,US,2009
Susanna POYKIO,142.14,US,2009
Mira LEUNG,136.16,US,2009
Kimmie MEISSNER,135.92,US,2009
Yan LIU,128.12,US,2009
Annette DYTRT,116.83,US,2009
Tugba KARADEMIR,113.91,US,2009
Joannie ROCHETTE,188.89,CA,2009
Fumie SUGURI,163.86,CA,2009
Alissa CZISNY,157.92,CA,2009
Carolina KOSTNER,152.76,CA,2009
Caroline ZHANG,150.8,CA,2009
Beatrisa LIANG,142.12,CA,2009
Jenna MCCORKELL,139.37,CA,2009
Cynthia PHANEUF,133.47,CA,2009
Nana TAKEDA,128.93,CA,2009
Jenni VAHAMAA,122.75,CA,2009
Elena GLEBOVA,116.38,CA,2009
Joannie ROCHETTE,180.73,FR,2009
Mao ASADA,167.59,FR,2009
Caroline ZHANG,156.54,FR,2009
Candice DIDIER,135.25,FR,2009
Beatrisa LIANG,134.29,FR,2009
Binshu XU,123.83,FR,2009
Elene GEDEVANISHVILI,121.78,FR,2009
Anastasia GIMAZETDINOVA,116.99,FR,2009
